emp_id,target_role_hint,text
E0000,Data Analyst,"Data Analyst with 3 years experience. Skills: numpy, queries, pivot, power bi. Built pipelines using queries. participated in hackathons."
E0001,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, , ci/cd, terraform, docker, kubernetes. Built apis using kubernetes. worked in a college project."
E0002,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, excel, power bi. Built dashboards using sql. quick learner."
E0003,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, apis, sql db, django, fast api. Built pipelines using fast api. quick learner."
E0004,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, apis, databases, docker, fastapi. Built web apps using python. handled csv and excel files."
E0005,ML Engineer,"ML Engineer with 1 years experience. Skills: python, ml, , nlp, tensorflow. Built models using nlp. handled csv and excel files."
E0006,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, , ci/cd, kubernetes. Built models using ci/cd. team player."
E0007,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, pivot, matplotlib, power bi. Built models using python. quick learner."
E0008,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, redux. Built pipelines using javascript. passionate about learning."
E0009,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, , tensorflow, pytorch. Built dashboards using pytorch. quick learner."
E0010,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, rest , rdbms, docker, fast api, django rest. Built web apps using docker. strong communication."
E0011,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, vlookup, power bi, pandas, charts. Built models using python. quick learner."
E0012,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, aws, ci/cd, terraform. Built dashboards using ci/cd. handled csv and excel files."
E0013,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, rest apis, databases, docker. Built pipelines using docker. team player."
E0014,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, nlp, tf, pytorch. Built pipelines using nlp. handled csv and excel files."
E0015,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, tf. Built dashboards using python. passionate about learning."
E0016,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, , typescript, css, redux. Built web apps using javascript. passionate about learning."
E0017,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, scikit-learn, torch, tensorflow, tf-idf. Built apis using scikit-learn. team player."
E0018,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, excel, pandas. Built web apps using excel. wrote unit tests."
E0019,Frontend Engineer (React),"Frontend Engineer (React) with 3 years experience. Skills: javascript, react, , css, redux, typescript. Built web apps using javascript. passionate about learning."
E0020,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, pivot, power bi, matplotlib, pandas. Built web apps using matplotlib. wrote unit tests."
E0021,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: python, , databases, fast api, containers, django rest. Built dashboards using fast api. strong communication."
E0022,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, aws, , terraform. Built web apps using aws. quick learner."
E0023,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, css, state mgmt. Built apis using javascript. participated in hackathons."
E0024,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, scikit-learn, nlp, pytorch, tensorflow. Built apis using python. participated in hackathons."
E0025,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, apis, databases, django. Built models using databases. strong communication."
E0026,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, databases, django, fastapi. Built pipelines using fastapi. participated in hackathons."
E0027,ML Engineer,"ML Engineer with 3 years experience. Skills: numpy, ml, scikit-learn, pytorch, tensorflow. Built dashboards using numpy. strong communication."
E0028,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, , css. Built pipelines using javascript. team player."
E0029,ML Engineer,"ML Engineer with 2 years experience. Skills: , ml, scikit-learn, torch, tensorflow. Built dashboards using scikit-learn. participated in hackathons."
E0030,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, rest apis, databases, django. Built web apps using databases. participated in hackathons."
E0031,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, tensorflow, text processing. Built dashboards using scikit-learn. team player."
E0032,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: , aws, ci/cd, docker, terraform. Built dashboards using ci/cd. passionate about learning."
E0033,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, vlookup, pandas, matplotlib. Built models using sql. passionate about learning."
E0034,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, apis, databases, containers, django, fast api. Built apis using django. team player."
E0035,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, typescript. Built apis using javascript. handled csv and excel files."
E0036,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, ec2, ci/cd, docker, iac. Built models using ci/cd. worked in a college project."
E0037,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, aws, ci/cd, kubernetes, terraform, docker. Built apis using linux. participated in hackathons."
E0038,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, apis, databases, docker, django, fast api. Built models using docker. handled csv and excel files."
E0039,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, ec2, ci/cd, kubernetes, containers, terraform. Built models using terraform. strong communication."
E0040,ML Engineer,"ML Engineer with 4 years experience. Skills: pandas, models, sklearn, tensorflow, nlp, pytorch. Built apis using sklearn. handled csv and excel files."
E0041,ML Engineer,"ML Engineer with 2 years experience. Skills: python, training, sklearn, nlp. Built pipelines using training. handled csv and excel files."
E0042,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, endpoints, databases, fastapi, django. Built dashboards using databases. passionate about learning."
E0043,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: numpy, apis, sql db, docker. Built models using sql db. team player."
E0044,Data Analyst,"Data Analyst with 0 years experience. Skills: numpy, sql, excel, plots, pandas, bi. Built models using plots. participated in hackathons."
E0045,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, pivot, pandas. Built models using sql. worked in a college project."
E0046,Data Analyst,"Data Analyst with 4 years experience. Skills: py, sql, pivot, power bi. Built models using power bi. wrote unit tests."
E0047,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, reactjs, html, typescript. Built apis using reactjs. passionate about learning."
E0048,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, s3, ci/cd, kubernetes, containers, terraform. Built models using s3. handled csv and excel files."
E0049,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, ec2, ci/cd, kubernetes, terraform, docker. Built models using terraform. wrote unit tests."
E0050,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, databases, docker, fast api. Built pipelines using fast api. worked in a college project."
